event_id,timestamp,actor,event_type,payload,caused_by,source_level,source_citation,confidence,relevant_query,weight_sign
NOK01,1992-06,"Jorma Ollila",PERSONNEL,"Ollila appointed CEO of Nokia; begins focus on mobile-telecommunications strategy.",,3,"Lamberg Lubinaite Ojala Tikkanen 2021 Business History Review p. 1083; Vuori & Huy 2016 ASQ p. 13",HIGH,capability:mobile-platform-development,+
NOK02,1994,"Nokia leadership",DECISION,"Nokia divests non-mobile businesses (cable, electronics, paper); pure-play mobile pivot completes.",NOK01,3,"Lamberg et al 2021 p. 1083",HIGH,capability:strategic-focus,+
NOK03,1996,"Nokia / Symbian consortium",ARTIFACT,"Nokia Communicator 9000 launched; first major smartphone-precursor product on EPOC OS.",,3,"Lamberg et al 2021 p. 1085-86",MEDIUM,capability:mobile-platform-development,+
NOK04,1998,"Nokia / Ericsson / Motorola / Psion",POLICY,"Symbian Ltd formed as joint venture: Nokia, Ericsson, Motorola, Psion share OS substrate; Nokia largest stakeholder.",,3,"Lamberg et al 2021 p. 1086",HIGH,capability:mobile-platform-development,+
NOK05,1998,"Nokia leadership",ARTIFACT,"Nokia overtakes Motorola in global mobile-handset unit share.",,3,"Lamberg et al 2021 p. 1083",HIGH,capability:mobile-platform-development,+
NOK06,2001,"Nokia",ARTIFACT,"Nokia 7650 launched; first Symbian S60 device.",NOK04,3,"Lamberg et al 2021 p. 1086",MEDIUM,capability:mobile-platform-development,+
NOK07,2003,"Nokia",ARTIFACT,"Nokia 1100 launched; eventually best-selling mobile phone in history (~250M units).",,3,"Lamberg et al 2021 p. 1084",HIGH,capability:hardware-design,+
NOK08,2004,"Anssi Vanjoki / Nokia smartphone team",POLICY,"Multimedia and Enterprise Solutions business units established; matrix structure introduces decision-rights ambiguity.",,3,"Vuori & Huy 2016 ASQ p. 19; Lamberg et al 2021 p. 1090",HIGH,capability:organizational-coordination,+
NOK09,2004,"Nokia leadership",FAILURE,"Internal smartphone-OS roadmap fractures: Symbian S60 vs Series 80 vs MeeGo precursors; multiple incompatible UI layers retained for legacy.",NOK08,3,"Vuori & Huy 2016 p. 24-25",HIGH,capability:mobile-platform-development,-
NOK10,2006-06,"Olli-Pekka Kallasvuo",PERSONNEL,"Kallasvuo (CFO) succeeds Ollila as CEO; Ollila moves to Chairman.",NOK01,3,"Lamberg et al 2021 p. 1090; Vuori & Huy 2016 p. 17",HIGH,capability:strategic-focus,+
NOK11,2007-01-09,"Apple / Steve Jobs",FAILURE,"iPhone announced (external event); reframes smartphone category around capacitive multi-touch + app-store software model; Nokia's substrate becomes mismatched to new dominant design.",,3,"Vuori & Huy 2016 p. 16; Lamberg et al 2021 p. 1091",HIGH,capability:mobile-platform-development,-
NOK12,2007,"Nokia top management team",FAILURE,"Internal reaction to iPhone: senior managers publicly dismiss iPhone (expensive, no enterprise features); middle managers worried but unable to escalate (Vuori-Huy 'shared fear' mechanism).",NOK11,3,"Vuori & Huy 2016 p. 20-26 (central case finding)",HIGH,capability:organizational-coordination,-
NOK13,2007-11,"Google / Open Handset Alliance",FAILURE,"Android announced as open-source mobile OS; second external shock to Nokia substrate.",,3,"Lamberg et al 2021 p. 1091; press record",HIGH,capability:mobile-platform-development,-
NOK14,2008,"Nokia / Symbian Foundation",POLICY,"Nokia acquires remaining Symbian stakes; open-sources Symbian via Symbian Foundation.",NOK04,3,"Lamberg et al 2021 p. 1091; Symbian Foundation announcement",HIGH,capability:mobile-platform-development,+
NOK15,2008-2010,"Nokia engineering",ARTIFACT,"Symbian^3 codebase released; widely criticized in trade press as obsolescent UI architecture; touch-retrofit limitations.",NOK14,4,"Lamberg et al 2021 p. 1092; press coverage 2010",MEDIUM,capability:mobile-platform-development,-
