event_id,timestamp,actor,event_type,payload,caused_by,source_level,source_citation,confidence,relevant_query,weight_sign
TOY01,1937,"Kiichiro Toyoda",DECISION,"Toyota Motor Co. founded as spinoff from Toyoda Automatic Loom Works.",,3,"Liker 2004 ch. 2 p. 16-19",HIGH,capability:production-system,+
TOY02,1937,"Kiichiro Toyoda",POLICY,"'Just-in-time' (JIT) concept introduced as flow-production principle inspired by Ford's River Rouge + supermarket replenishment.",TOY01,3,"Liker 2004 ch. 2 p. 19-21",HIGH,capability:production-system,+
TOY03,1950,"Eiji Toyoda",PERSONNEL,"Eiji Toyoda + colleagues visit Ford River Rouge plant; decision to adapt rather than copy Ford methods.",,3,"Liker 2004 ch. 2 p. 20-21",HIGH,capability:production-system,+
TOY04,1950-1955,"Taiichi Ohno",POLICY,"Ohno assigned to apply JIT in machine shop; first kanban-card pull-system experiments; codified as Toyota Production System (TPS).",TOY03,3,"Liker 2004 ch. 2 p. 21-22; Spear & Bowen 1999 HBR p. 96-97",HIGH,capability:production-system,+
TOY05,1955-1965,"Taiichi Ohno / production engineers",POLICY,"Andon-cord rule codified: any operator can stop the line on detecting abnormality; line-stop is a learning event not a failure.",TOY04,3,"Liker 2004 ch. 11 p. 129-138; Spear & Bowen 1999 p. 99",HIGH,capability:production-system,+
TOY06,1960s,"Taiichi Ohno / Shigeo Shingo",POLICY,"SMED (Single-Minute Exchange of Die) developed; die-change time reduced from hours to minutes; enables small-batch production.",,3,"Liker 2004 ch. 11; Spear 2009 ch. 4",MEDIUM,capability:production-system,+
TOY07,1965-1975,"Taiichi Ohno / shop-floor teams",POLICY,"Standard-work format codified: takt time + work sequence + standard work-in-process per workstation; documents revised by operators not engineers.",TOY04,3,"Liker 2004 ch. 12 p. 142-150; Spear & Bowen 1999 p. 98",HIGH,capability:production-system,+
TOY08,1965-1975,"Toyota engineering",POLICY,"5 Whys root-cause practice codified: any FAILURE event triggers iterated 'why?' interrogation to find root cause not symptom.",TOY05,3,"Liker 2004 ch. 20 p. 252-254; Spear 2009 ch. 4",HIGH,capability:production-system,+
TOY09,1965-1980,"Toyota leadership",POLICY,"Kaizen (continuous improvement) institutionalized: every employee expected to submit improvement suggestions; suggestion volume tracked annually.",TOY07,3,"Liker 2004 ch. 13 p. 158-164",HIGH,capability:production-system,+
TOY10,1973,"Toyota / Toyoda Eiji",FAILURE,"Oil crisis exposes Detroit overproduction; Toyota's small-batch JIT becomes competitive advantage; substrate visible internationally.",,3,"Liker 2004 ch. 1 p. 6-7",HIGH,capability:production-system,+
