case_id,cik,company,stratum,role,verdict,reason,replacement_case_id
P001,1659166,Fortive Corp  (FTV)  (CIK 0001659166),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P002,1418135,CSAB Inc.  (KDP)  (CIK 0001418135),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P003,1457543,CareFusion Corp  (CIK 0001457543),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P004,1468516,AOL Inc.  (CIK 0001468516),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P005,1635718,"Gannett SpinCo, Inc.  (CIK 0001635718)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P006,1685040,"Brighthouse Financial, Inc.  (BHF, BHFAL, BHFAM, BHFAN, BHFAO, BHFAP)  (CIK 0001685040)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P007,1755672,"Corteva, Inc.  (CTVA)  (CIK 0001755672)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P008,1434729,"HSN, Inc.  (CIK 0001434729)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P009,1710366,CONSOL Mining Corp  (CEIX)  (CIK 0001710366),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P010,1632127,"Cable One, Inc.  (CABO)  (CIK 0001632127)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P011,1620546,Baxalta Inc  (CIK 0001620546),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P012,1657853,"Hertz Rental Car Holding Company, Inc.  (HTZ, HTZWW)  (CIK 0001657853)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P013,1528558,"Rouse Properties, Inc.  (CIK 0001528558)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P014,1727263,"frontdoor, inc.  (FTDR)  (CIK 0001727263)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P015,1645590,Hewlett Packard Enterprise Co  (HPE)  (CIK 0001645590),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P016,1675149,Alcoa Upstream Corp  (AA)  (CIK 0001675149),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P017,1486957,Babcock & Wilcox Co  (BWXT)  (CIK 0001486957),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P018,1611547,Urban Edge Properties  (UE)  (CIK 0001611547),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P019,1670541,Adient Ltd  (ADNT)  (CIK 0001670541),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P020,1660690,"Versum Materials, LLC  (CIK 0001660690)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P021,1518832,"WPX ENERGY, INC.  (CIK 0001518832)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P022,1751788,Dow Holdings Inc.  (DOW)  (CIK 0001751788),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P023,1594686,SPG SpinCo Subsidiary Inc.  (CIK 0001594686),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P024,1390844,WABCO Holdings Inc.  (CIK 0001390844),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P025,1598428,TimkenSteel Corp  (MTUS)  (CIK 0001598428),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P026,1630805,"Babcock & Wilcox Enterprises, Inc.  (BW, BWNB, BWSN, BW-PA)  (CIK 0001630805)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P027,1415404,EchoStar Holding CORP  (SATS)  (CIK 0001415404),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P028,1601046,"Keysight Technologies, Inc.  (KEYS)  (CIK 0001601046)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P029,1707092,Delphi Jersey Holdings plc  (CIK 0001707092),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P030,1376812,Patriot Coal CORP  (CIK 0001376812),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P031,1594590,PARAGON OFFSHORE LTD.  (CIK 0001594590),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P032,1679273,"Lamb Weston Holdings, Inc.  (LW)  (CIK 0001679273)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P033,1551152,AbbVie Inc.  (ABBV)  (CIK 0001551152),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P034,1609253,"California Resources Corp  (CRC, CRCQW)  (CIK 0001609253)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P035,1656239,"PNK Entertainment, Inc.  (CIK 0001656239)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P036,1532930,CHESAPEAKE OILFIELD OPERATING LLC  (CIK 0001532930),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P037,1627223,Chemours Co  (CC)  (CIK 0001627223),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P038,1495569,"Motorola Mobility Holdings, Inc  (CIK 0001495569)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P039,1635881,Exterran Corp  (CIK 0001635881),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P040,1591517,Time Inc.  (CIK 0001591517),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P041,1587732,"ONE Gas, Inc.  (OGS)  (CIK 0001587732)",carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P042,1681622,Varex Imaging Corp  (VREX)  (CIK 0001681622),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P043,1534701,Phillips 66  (PSX)  (CIK 0001534701),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P044,1597672,Rayonier Holding Co  (RYAM)  (CIK 0001597672),carve_out,gap_prone,PASS,form-10 information statement + separation-agreement signal,
P045,76334,PARKER HANNIFIN CORP  (PH)  (CIK 0000076334),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P046,351817,SWIFT ENERGY CO  (CIK 0000351817),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P047,1307748,"Inland American Real Estate Trust, Inc.  (IVT)  (CIK 0001307748)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P048,1050797,COLUMBIA SPORTSWEAR CO  (COLM)  (CIK 0001050797),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P049,42582,GOODYEAR TIRE & RUBBER CO /OH/  (GT)  (CIK 0000042582),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P050,1585854,SunEdison Semiconductor Ltd  (CIK 0001585854),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P051,931015,POLARIS INDUSTRIES INC/MN  (PII)  (CIK 0000931015),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P052,24545,"MOLSON COORS BREWING CO  (TAP, TAP-A)  (CIK 0000024545)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P053,1397516,REX ENERGY CORP  (CIK 0001397516),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P054,723125,MICRON TECHNOLOGY INC  (MU)  (CIK 0000723125),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P055,1370946,Owens Corning  (OC)  (CIK 0001370946),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P056,1046880,CENTRAL EUROPEAN DISTRIBUTION CORP  (CIK 0001046880),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P057,1011006,ALTABA INC.  (CIK 0001011006),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P058,719413,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P059,909832,COSTCO WHOLESALE CORP /NEW  (COST)  (CIK 0000909832),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P060,96289,RADIOSHACK CORP  (CIK 0000096289),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P061,105319,WEIGHT WATCHERS INTERNATIONAL INC  (WW)  (CIK 0000105319),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P062,1561660,Pattern Energy Group Inc.  (CIK 0001561660),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P063,929887,APOLLO GROUP INC  (CIK 0000929887),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P064,865754,SAUER DANFOSS INC  (CIK 0000865754),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P065,1441849,CLOUD PEAK ENERGY INC.  (CIK 0001441849),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P066,1677761,"Parkway, Inc.  (CIK 0001677761)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P067,945436,MEMC ELECTRONIC MATERIALS INC  (CIK 0000945436),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P068,823094,SOTHEBYS  (CIK 0000823094),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P069,1061219,"ENTERPRISE PRODUCTS PARTNERS L P  (EPD, EPDU)  (CIK 0001061219)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P070,1042810,"EQUITY ONE, INC.  (CIK 0001042810)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P071,78460,PIEDMONT NATURAL GAS CO INC  (CIK 0000078460),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P072,1674168,Hilton Grand Vacations Inc.  (HGV)  (CIK 0001674168),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P073,98222,"TIDEWATER INC  (TDW, TDDWW, TDGMW, TDW-WT)  (CIK 0000098222)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P074,1204560,"MPG Office Trust, Inc.  (CIK 0001204560)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P075,1065837,SKECHERS USA INC  (SKX)  (CIK 0001065837),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P076,791915,CYPRESS SEMICONDUCTOR CORP /DE/  (CIK 0000791915),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
