case_id,cell,value,rationale
E15,gap_56,0,"H6-critical. All three coders returned gap_56=uncertain because the dossier marks Forest City T6 people/culture transfer detail [UNVERIFIED] (sec.2 T6). Adjudicated to 0 (no structural gap): sec.2 documents a whole-entity take-private absorbing the portfolio (T4) and its property-operating processes (T5) into Brookfield's real-estate platform, and sec.4 P5 documents no process-organization fracture. The [UNVERIFIED] T6 line is absence-of-detail, not evidence of a T5-T6 mismatch; per the codebook's conservative rule (absence of evidence for a structural gap = 0, never guess a gap into existence) the gap is coded absent. Null-friendly direction."
A01,sigma_T2,partial,"Split (claude read-only / gemini 1-1 / grok partial). Sec.2 T2: Chrysler's volume-automaker model 'retained initially but subordinated to the combined group; anticipated synergies failed to materialize' -> transferred but incompletely/with friction = partial."
A01,sigma_T5,partial,"Split (claude null / gemini 1-1 / grok partial). Sec.2 T5: 'Operations were not deeply integrated ... processes largely stayed separate.' A process fork was attempted but largely did not complete -> partial (transferred incompletely/with friction), not a clean 1-1 nor a bare null."
A02,sigma_T3,null,"Split (claude subset / gemini terminate / grok null). Sec.2 T3: 'Assets and businesses, not the legal entity: acquired via Section 363 sale; Lehman Brothers Holdings remained a debtor in bankruptcy.' The legal vehicle did NOT cross the boundary (assets did) -> null at the T3 tier. gemini terminate is wrong (Lehman's entity persisted in bankruptcy)."
A04,sigma_T3,terminate,"Split (claude N-1 / gemini 1-1 / grok terminate). Sec.2 T3: 'FriendFeed's operations and staff were absorbed into Facebook, Inc.' The separate FriendFeed legal vehicle ceased as an independent entity (folded into the acquirer) -> terminate."
A07,sigma_T5,read-only,"Split (claude subset / gemini read-only / grok partial). Sec.2 T5: 'Operating standards are specified by McDonald's; day-to-day operation is executed by the franchisee.' The franchisee accesses the operating system under license without ownership transfer -> read-only (the canonical franchise pattern)."
A09,sigma_T2,1-1,"Split, 2 coders present (claude 1-1 / grok N-1; gemini truncated/absent). Sec.2 T2: Covidien's 'complementary medical-device/supply portfolio' merged into Medtronic's, 'largely complementary rather than substitutive' -> the model carried over whole into the combination = 1-1. (A09 is H6-excluded; descriptive only.)"
A12,sigma_T6,N-1,"Split (claude 1-1 / gemini N-1 / grok swap). Sec.2 T6: NYSE's member-owned mutual and Archipelago's shareholder org combined into one NYSE Group (members ~70%, Archipelago ~30%) -> two organizations collapsed into one = N-1."
A13,sigma_T2,null,"Split (claude swap / gemini 1-N / grok null). Sec.2 T2: 'New. NUMMI was established as an independent 50-50 joint venture ... to produce cars on contract for both companies.' A new shared model was CREATED; no pre-existing T2 model crossed the boundary -> null. (JV creation strains the transfer-oriented alphabet; noted as a scheme boundary.)"
A13,sigma_T3,null,"Split (claude swap / gemini 1-N / grok null). Sec.2 T3: 'New vehicle. A fresh jointly held legal entity (NUMMI) was incorporated; the predecessor GM Fremont entity had been shut down.' A new entity was created rather than an existing one transferred -> null, consistent with T2. (JV = creation, not transfer.)"
A14,sigma_T6,partial,"Split (claude partial / gemini subset / grok 1-1). Sec.2 T6: people 'Transferred with the business; retention flagged as a risk' (key-personnel retention a live concern) -> transferred but incompletely/with friction = partial."
E01,sigma_T6,partial,"Split (claude 1-1 / gemini N-1 / grok partial). Sec.2 T6: 'People transferred into the combined organization with partial senior-leadership retention' and integration flagged as a risk -> partial."
